"log_id";"user";"currenttrial";"img";"goodanswer";"answer";"answerhistory";"isgoodanswer";"certitude";"certitudeHistory";"timestamp";"time"
"188";"44792967";"1";"31";"Choucas des tours";"[""Choucas des tours""]";"""[""Choucas des tours""]""";"1";"6";"""[""6""]""";"1648208354706";"110206"
"205";"44792967";"3";"117";"Rouge gorge";"[""Rouge gorge""]";"""[""Rouge gorge"",""Mesange nonnette""]""";"1";"7";"""[""7""]""";"1648208354706";"185837"
"247";"44792967";"17";"135";"Pigeon ramier";"[""Pigeon ramier""]";"""[""Pigeon ramier""]""";"1";"7";"""[""7""]""";"1648208354706";"334801"
"212";"44792967";"6";"148";"Corneille noire";"[""Corneille noire""]";"""[""Corneille noire""]""";"1";"7";"""[""7""]""";"1648208354706";"211240"
"242";"44792967";"15";"150";"Corbeau freux";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"1";"7";"""[""7""]""";"1648208354706";"323486"
"211";"44792967";"5";"170";"Corbeau freux";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"1";"7";"""[""7""]""";"1648208354706";"205862"
"243";"44792967";"16";"204";"Corneille noire";"[""Corneille noire""]";"""[""Corneille noire""]""";"1";"7";"""[""7""]""";"1648208354706";"328534"
"239";"44792967";"14";"212";"Mesange charbonniere";"[""Mesange charbonniere""]";"""[""Mesange charbonniere""]""";"1";"7";"""[""7""]""";"1648208354706";"317199"
"223";"44792967";"10";"220";"Mesange nonnette";"[""Mesange charbonniere"",""Mesange nonnette""]";"""[""Mesange charbonniere"",""Mesange nonnette""]""";"1";"6";"""[""6""]""";"1648208354706";"244025"
"253";"44792967";"19";"240";"Pigeon biset";"[""Pigeon biset""]";"""[""Pigeon biset""]""";"1";"7";"""[""7""]""";"1648208354706";"356743"
"250";"44792967";"18";"271";"Grand corbeau";"[""Grand corbeau""]";"""[""Grand corbeau""]""";"1";"7";"""[""7""]""";"1648208354706";"339833"
"234";"44792967";"12";"282";"Mesange noire";"[""Mesange charbonniere"",""Mesange nonnette""]";"""[""Mesange nonnette"",""Mesange charbonniere""]""";"0";"6";"""[""6""]""";"1648208354706";"298300"
"202";"44792967";"2";"289";"Mesange noire";"[""Mesange charbonniere"",""Mesange noire""]";"""[""Mesange noire"",""Mesange charbonniere""]""";"1";"6";"""[""6""]""";"1648208354706";"173086"
"232";"44792967";"11";"300";"Choucas des tours";"[""Choucas des tours"",""Mesange noire""]";"""[""Choucas des tours"",""Mesange noire""]""";"1";"6";"""[""6""]""";"1648208354706";"283124"
"218";"44792967";"8";"304";"Grand corbeau";"[""Grand corbeau""]";"""[""Grand corbeau""]""";"1";"7";"""[""7""]""";"1648208354706";"226527"
"209";"44792967";"4";"311";"Mesange charbonniere";"[""Mesange charbonniere""]";"""[""Mesange charbonniere""]""";"1";"7";"""[""7""]""";"1648208354706";"199039"
"180";"44792967";"0";"312";"Mesange nonnette";"[""Mesange noire"",""Mesange nonnette""]";"""[""Mesange nonnette"",""Mesange noire""]""";"1";"6";"""[""7"",""5"",""6""]""";"1648208354706";"64754"
"220";"44792967";"9";"323";"Pigeon biset";"[""Pigeon biset""]";"""[""Pigeon biset""]""";"1";"7";"""[""7""]""";"1648208354706";"230279"
"217";"44792967";"7";"326";"Pigeon ramier";"[""Pigeon ramier""]";"""[""Pigeon ramier""]""";"1";"7";"""[""7""]""";"1648208354706";"220424"
"237";"44792967";"13";"332";"Rouge gorge";"[""Rouge gorge""]";"""[""Rouge gorge""]""";"1";"7";"""[""7""]""";"1648208354706";"309647"
"985";"302122643";"1";"31";"Choucas des tours";"[""Corbeau freux"",""Pigeon biset"",""Corneille noire""]";"""[""Corbeau freux"",""Corneille noire"",""Pigeon biset""]""";"0";"6";"""[""6""]""";"1648213187502";"109863"
"996";"302122643";"3";"117";"Rouge gorge";"[""Rouge gorge""]";"""[""Rouge gorge""]""";"1";"7";"""[""7""]""";"1648213187502";"167947"
"1022";"302122643";"17";"135";"Pigeon ramier";"[""Pigeon biset"",""Pigeon ramier""]";"""[""Pigeon ramier"",""Pigeon biset""]""";"1";"7";"""[""6"",""7""]""";"1648213187502";"535186"
"1003";"302122643";"6";"148";"Corneille noire";"[""Corbeau freux"",""Grand corbeau"",""Corneille noire""]";"""[""Grand corbeau"",""Corbeau freux"",""Corneille noire""]""";"1";"6";"""[""6""]""";"1648213187502";"285581"
"1018";"302122643";"15";"150";"Corbeau freux";"[""Choucas des tours"",""Grand corbeau""]";"""[""Choucas des tours"",""Grand corbeau""]""";"0";"6";"""[""6""]""";"1648213187502";"471632"
"1001";"302122643";"5";"170";"Corbeau freux";"[""Choucas des tours"",""Corbeau freux"",""Corneille noire""]";"""[""Corbeau freux"",""Choucas des tours"",""Corneille noire""]""";"1";"6";"""[""6""]""";"1648213187502";"243600"
"1020";"302122643";"16";"204";"Corneille noire";"[""Grand corbeau"",""Corneille noire""]";"""[""Corneille noire"",""Grand corbeau""]""";"1";"5";"""[""5""]""";"1648213187502";"498319"
"1016";"302122643";"14";"212";"Mesange charbonniere";"[""Mesange nonnette"",""Mesange noire"",""Mesange charbonniere""]";"""[""Mesange nonnette"",""Mesange noire"",""Mesange charbonniere""]""";"1";"6";"""[""6""]""";"1648213187502";"450557"
"1008";"302122643";"10";"220";"Mesange nonnette";"[""Mesange nonnette"",""Mesange noire"",""Mesange charbonniere""]";"""[""Mesange nonnette"",""Mesange noire"",""Mesange charbonniere""]""";"1";"7";"""[""7""]""";"1648213187502";"348140"
"1025";"302122643";"19";"240";"Pigeon biset";"[""Pigeon biset""]";"""[""Pigeon biset""]""";"1";"7";"""[""7""]""";"1648213187502";"574969"
"1023";"302122643";"18";"271";"Grand corbeau";"[""Choucas des tours"",""Corbeau freux"",""Grand corbeau""]";"""[""Choucas des tours"",""Grand corbeau"",""Corbeau freux""]""";"1";"6";"""[""6""]""";"1648213187502";"553989"
"1013";"302122643";"12";"282";"Mesange noire";"[""Mesange nonnette"",""Mesange noire"",""Mesange charbonniere""]";"""[""Mesange nonnette"",""Mesange noire"",""Mesange charbonniere""]""";"1";"6";"""[""6""]""";"1648213187502";"422505"
"993";"302122643";"2";"289";"Mesange noire";"[""Mesange nonnette"",""Mesange noire"",""Mesange charbonniere""]";"""[""Mesange nonnette"",""Mesange noire"",""Mesange charbonniere""]""";"1";"6";"""[""6""]""";"1648213187502";"146239"
"1011";"302122643";"11";"300";"Choucas des tours";"[""Choucas des tours"",""Mesange noire"",""Corneille noire""]";"""[""Choucas des tours"",""Corneille noire"",""Mesange noire""]""";"1";"4";"""[""4""]""";"1648213187502";"397766"
"1006";"302122643";"8";"304";"Grand corbeau";"[""Grand corbeau""]";"""[""Grand corbeau""]""";"1";"7";"""[""7""]""";"1648213187502";"315666"
"998";"302122643";"4";"311";"Mesange charbonniere";"[""Mesange nonnette"",""Mesange noire"",""Mesange charbonniere""]";"""[""Mesange nonnette"",""Mesange noire"",""Mesange charbonniere""]""";"1";"7";"""[""6"",""7""]""";"1648213187502";"189591"
"979";"302122643";"0";"312";"Mesange nonnette";"[""Mesange nonnette"",""Mesange noire"",""Mesange charbonniere""]";"""[""Mesange nonnette"",""Mesange noire"",""Mesange charbonniere""]""";"1";"6";"""[""6""]""";"1648213187502";"40952"
"1007";"302122643";"9";"323";"Pigeon biset";"[""Pigeon biset""]";"""[""Pigeon biset""]""";"1";"7";"""[""7""]""";"1648213187502";"332873"
"1004";"302122643";"7";"326";"Pigeon ramier";"[""Pigeon ramier""]";"""[""Pigeon ramier""]""";"1";"7";"""[""7""]""";"1648213187502";"303174"
"1015";"302122643";"13";"332";"Rouge gorge";"[""Rouge gorge""]";"""[""Rouge gorge""]""";"1";"7";"""[""7""]""";"1648213187502";"439612"
"178";"358845585";"13";"119";"Rouge gorge";"[""Rouge gorge""]";"""[""Rouge gorge""]""";"1";"6";"""[""6""]""";"1648208104024";"310844"
"195";"358845585";"19";"129";"Pigeon biset";"[""Pigeon ramier""]";"""[""Pigeon ramier""]""";"0";"6";"""[""6""]""";"1648208104024";"380633"
"177";"358845585";"12";"160";"Mesange noire";"[""Mesange noire"",""Mesange charbonniere"",""Mesange nonnette""]";"""[""Mesange noire"",""Mesange nonnette"",""Mesange charbonniere""]""";"1";"6";"""[""6""]""";"1648208104024";"299499"
"145";"358845585";"5";"171";"Corbeau freux";"[""Grand corbeau"",""Corbeau freux"",""Corneille noire""]";"""[""Corbeau freux"",""Corneille noire"",""Grand corbeau""]""";"1";"6";"""[""6""]""";"1648208104024";"170783"
"130";"358845585";"1";"180";"Choucas des tours";"[""Grand corbeau"",""Corbeau freux"",""Corneille noire""]";"""[""Corbeau freux"",""Corneille noire"",""Grand corbeau""]""";"0";"6";"""[""6""]""";"1648208104024";"80592"
"173";"358845585";"11";"181";"Choucas des tours";"[""Grand corbeau"",""Corbeau freux"",""Corneille noire""]";"""[""Grand corbeau"",""Corbeau freux"",""Corneille noire""]""";"0";"6";"""[""6""]""";"1648208104024";"289054"
