"log_id";"user";"currenttrial";"img";"goodanswer";"answer";"answerhistory";"isgoodanswer";"certitude";"certitudeHistory";"timestamp";"time"
"286";"154208538";"4";"126";"Mesange charbonniere";"[""Mesange charbonniere""]";"""[""Mesange charbonniere""]""";"1";"6";"""[""6""]""";"1670946664222";"112211"
"301";"154208538";"19";"132";"Pigeon biset";"[""Pigeon biset""]";"""[""Pigeon biset""]""";"1";"5";"""[""4"",""5""]""";"1670946664222";"259574"
"299";"154208538";"17";"136";"Pigeon ramier";"[""Pigeon biset""]";"""[""Pigeon ramier"",""Pigeon biset""]""";"0";"5";"""[""5""]""";"1670946664222";"242719"
"293";"154208538";"11";"145";"Choucas des tours";"[""Choucas des tours""]";"""[""Choucas des tours""]""";"1";"4";"""[""4""]""";"1670946664222";"176622"
"298";"154208538";"16";"146";"Corneille noire";"[""Corneille noire""]";"""[""Corneille noire""]""";"1";"5";"""[""5""]""";"1670946664222";"230040"
"287";"154208538";"5";"174";"Corbeau freux";"[""Corneille noire""]";"""[""Corneille noire""]""";"0";"6";"""[""6""]""";"1670946664222";"122749"
"297";"154208538";"15";"175";"Corbeau freux";"[""Grand corbeau""]";"""[""Grand corbeau""]""";"0";"5";"""[""5""]""";"1670946664222";"220918"
"283";"154208538";"1";"187";"Choucas des tours";"[""Corneille noire""]";"""[""Corneille noire""]""";"0";"5";"""[""5""]""";"1670946664222";"87214"
"288";"154208538";"6";"196";"Corneille noire";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"0";"6";"""[""6""]""";"1670946664222";"130763"
"296";"154208538";"14";"210";"Mesange charbonniere";"[""Choucas des tours""]";"""[""Choucas des tours""]""";"0";"4";"""[""4""]""";"1670946664222";"207978"
"282";"154208538";"0";"221";"Mesange nonnette";"[""Mesange noire""]";"""[""Mesange charbonniere"",""Corneille noire"",""Mesange noire""]""";"0";"5";"""[""5""]""";"1670946664222";"68746"
"292";"154208538";"10";"226";"Mesange nonnette";"[""Mesange nonnette""]";"""[""Mesange nonnette""]""";"1";"4";"""[""4""]""";"1670946664222";"168467"
"291";"154208538";"9";"244";"Pigeon biset";"[""Pigeon biset""]";"""[""Pigeon biset""]""";"1";"5";"""[""5""]""";"1670946664222";"160668"
"289";"154208538";"7";"252";"Pigeon ramier";"[""Pigeon ramier""]";"""[""Pigeon ramier""]""";"1";"6";"""[""6""]""";"1670946664222";"139563"
"295";"154208538";"13";"261";"Rouge gorge";"[""Rouge gorge""]";"""[""Rouge gorge""]""";"1";"6";"""[""6""]""";"1670946664222";"198823"
"285";"154208538";"3";"263";"Rouge gorge";"[""Rouge gorge""]";"""[""Rouge gorge""]""";"1";"6";"""[""6""]""";"1670946664222";"107101"
"300";"154208538";"18";"276";"Grand corbeau";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"0";"5";"""[""4"",""5""]""";"1670946664222";"252097"
"284";"154208538";"2";"280";"Mesange noire";"[""Mesange noire""]";"""[""Mesange noire""]""";"1";"5";"""[""5""]""";"1670946664222";"100877"
"294";"154208538";"12";"285";"Mesange noire";"[""Mesange nonnette""]";"""[""Mesange nonnette""]""";"0";"4";"""[""4""]""";"1670946664222";"194232"
"290";"154208538";"8";"306";"Grand corbeau";"[""Grand corbeau""]";"""[""Grand corbeau""]""";"1";"5";"""[""5""]""";"1670946664222";"154073"
"51";"199741164";"1";"31";"Choucas des tours";"[""Choucas des tours""]";"""[""Choucas des tours""]""";"1";"6";"""[""6""]""";"1670945805477";"64670"
"55";"199741164";"3";"117";"Rouge gorge";"[""Rouge gorge""]";"""[""Rouge gorge""]""";"1";"7";"""[""7""]""";"1670945805477";"79574"
"238";"199741164";"17";"135";"Pigeon ramier";"[""Pigeon ramier""]";"""[""Pigeon ramier""]""";"1";"7";"""[""7""]""";"1670945805477";"443568"
"175";"199741164";"6";"148";"Corneille noire";"[""Corbeau freux""]";"""[""Corbeau freux""]""";"0";"6";"""[""6""]""";"1670945805477";"309206"
"228";"199741164";"15";"150";"Corbeau freux";"[""Corneille noire""]";"""[""Corneille noire""]""";"0";"6";"""[""6""]""";"1670945805477";"412065"
"167";"199741164";"5";"170";"Corbeau freux";"[""Corneille noire""]";"""[""Corneille noire""]""";"0";"5";"""[""5""]""";"1670945805477";"294967"
"236";"199741164";"16";"204";"Corneille noire";"[""Grand corbeau""]";"""[""Corbeau freux"",""Grand corbeau""]""";"0";"6";"""[""6""]""";"1670945805477";"437032"
"225";"199741164";"14";"212";"Mesange charbonniere";"[""Mesange charbonniere""]";"""[""Mesange charbonniere""]""";"1";"6";"""[""6""]""";"1670945805477";"404989"
"207";"199741164";"10";"220";"Mesange nonnette";"[""Mesange nonnette""]";"""[""Mesange nonnette""]""";"1";"6";"""[""6""]""";"1670945805477";"367899"
"242";"199741164";"19";"240";"Pigeon biset";"[""Pigeon biset""]";"""[""Pigeon biset""]""";"1";"7";"""[""7""]""";"1670945805477";"453803"
"239";"199741164";"18";"271";"Grand corbeau";"[""Corneille noire""]";"""[""Corneille noire""]""";"0";"6";"""[""6""]""";"1670945805477";"449308"
"215";"199741164";"12";"282";"Mesange noire";"[""Mesange charbonniere""]";"""[""Mesange charbonniere""]""";"0";"6";"""[""6""]""";"1670945805477";"381026"
"52";"199741164";"2";"289";"Mesange noire";"[""Mesange noire""]";"""[""Mesange noire""]""";"1";"6";"""[""6""]""";"1670945805477";"74950"
"211";"199741164";"11";"300";"Choucas des tours";"[""Choucas des tours""]";"""[""Choucas des tours""]""";"1";"6";"""[""6""]""";"1670945805477";"374287"
"195";"199741164";"8";"304";"Grand corbeau";"[""Grand corbeau""]";"""[""Grand corbeau"",""Choucas des tours"",""Corneille noire"",""Grand corbeau""]""";"1";"6";"""[""6"",""5"",""6"",""6""]""";"1670945805477";"343416"
