"log_id";"user";"trial";"new_answer";"new_certitude";"cant_answer";"isImprecis";"aHistory";"cHistory"
"1";"1695912071";"0";"""Corbeau freux""";"6";"0";"1";"""[""Corbeau freux""]""";"""[""6""]"""
"2";"1218008005";"0";"""Corbeau freux""";"3";"0";"1";"""[""Corbeau freux""]""";"""[""3"",""5"",""3""]"""
"3";"1218008005";"1";"""Choucas des tours""";"3";"0";"1";"""[""Choucas des tours""]""";"""[""3""]"""
"4";"1218008005";"2";"""Corbeau freux""";"3";"0";"1";"""[""Corbeau freux""]""";"""[""5"",""3""]"""
"5";"392989071";"3";"""Corbeau freux""";"1";"0";"1";"""[""Corbeau freux""]""";"""[""2"",""1""]"""
"6";"578193948";"0";"""Corbeau freux""";"2";"0";"1";"""[""Corbeau freux""]""";"""[""2""]"""
"7";"578193948";"3";"""Corbeau freux""";"2";"0";"1";"""[""Corbeau freux""]""";"""[""2""]"""
"8";"2078782068";"0";"""Corbeau freux""";"5";"0";"1";"""[""Corbeau freux"",""Corbeau freux"",""Corbeau freux"",""Choucas des tours"",""Corbeau freux""]""";"""[""5""]"""
"9";"1829636687";"0";"""Corbeau freux""";"1";"0";"1";"""[""Corbeau freux""]""";"""[""1""]"""
"10";"1829636687";"1";"""Choucas des tours""";"1";"0";"1";"""[""Choucas des tours""]""";"""[""1""]"""
"11";"1829636687";"2";"""Corbeau freux""";"1";"0";"1";"""[""Corbeau freux""]""";"""[""1""]"""
"12";"1829636687";"3";"""Corbeau freux""";"1";"0";"1";"""[""Corbeau freux""]""";"""[""1""]"""
"13";"1057024173";"0";"";NULL;"1";"1";"";""
"14";"1860932501";"3";"""Choucas des tours""";"5";"0";"1";"""[""Choucas des tours""]""";"""[""5""]"""
"15";"1057024173";"1";"";NULL;"1";"1";"";""
"16";"1057024173";"2";"";NULL;"1";"1";"";""
"17";"1057024173";"3";"";NULL;"1";"1";"";""
"18";"1555074012";"0";"";NULL;"1";"1";"";""
"19";"1555074012";"1";"""Corbeau freux""";"3";"0";"1";"""[""Corbeau freux""]""";"""[""3""]"""
"20";"1555074012";"2";"""Corbeau freux""";"3";"0";"1";"""[""Corbeau freux""]""";"""[""3""]"""
"21";"1555074012";"3";"""Corbeau freux""";"3";"0";"1";"""[""Corbeau freux""]""";"""[""3""]"""
"22";"389434647";"3";"";NULL;"1";"1";"";""
"23";"1494487035";"0";"";NULL;"1";"1";"";""
"24";"1106361504";"1";"""Corbeau freux""";"3";"0";"1";"""[""Corbeau freux""]""";"""[""3""]"""
"25";"1106361504";"2";"""Corbeau freux""";"4";"0";"1";"""[""Corbeau freux""]""";"""[""4""]"""
"26";"1106361504";"3";"";NULL;"1";"1";"";""
"27";"1567983058";"1";"";NULL;"1";"1";"";""
"28";"1567983058";"2";"";NULL;"1";"1";"";""
"29";"297078618";"0";"";NULL;"1";"1";"";""
"30";"672797706";"1";"""Corbeau freux""";"5";"0";"1";"""[""Corbeau freux""]""";"""[""5""]"""
"31";"672797706";"3";"""Corbeau freux""";"5";"0";"1";"""[""Corbeau freux""]""";"""[""5""]"""
"32";"1469575674";"0";"""Corbeau freux""";"4";"0";"1";"""[""Corbeau freux""]""";"""[""4""]"""
"33";"1469575674";"1";"""Choucas des tours""";"3";"0";"1";"""[""Choucas des tours""]""";"""[""3""]"""
"34";"1469575674";"2";"""Corbeau freux""";"3";"0";"1";"""[""Corbeau freux""]""";"""[""3""]"""
"35";"1469575674";"3";"""Corbeau freux""";"3";"0";"1";"""[""Corbeau freux""]""";"""[""3""]"""
