"log_id";"user";"currenttrial";"img";"goodanswer";"answer";"answerhistory";"isgoodanswer";"certitude";"certitudeHistory";"timestamp";"time"
"145";"17893971";"1";"41";"Epagneul Breton";"[""Epagneul Breton""]";"""[""Epagneul Breton""]""";"1";"5";"""[""5""]""";"1669218474859";"125305"
"183";"17893971";"5";"49";"Epagneul Breton";"[""Epagneul Breton""]";"""[""Epagneul Breton""]""";"1";"6";"""[""6""]""";"1669218474859";"223888"
"154";"17893971";"2";"53";"Basset";"[""Basset""]";"""[""Basset""]""";"1";"6";"""[""6""]""";"1669218474859";"161537"
"189";"17893971";"6";"57";"Basset";"[""Beagle""]";"""[""Beagle""]""";"0";"7";"""[""7""]""";"1669218474859";"240778"
"135";"17893971";"0";"65";"Beagle";"[""Basset"",""Beagle""]";"""[""Beagle"",""Basset""]""";"1";"5";"""[""4"",""5""]""";"1669218474859";"54836"
"176";"17893971";"4";"67";"Beagle";"[""Beagle""]";"""[""Beagle""]""";"1";"6";"""[""6""]""";"1669218474859";"206859"
"165";"17893971";"3";"81";"Foxhound";"[""Epagneul Breton""]";"""[""Epagneul Breton""]""";"0";"6";"""[""6""]""";"1669218474859";"185693"
"191";"17893971";"7";"93";"Foxhound";"[""Epagneul Breton""]";"""[""Epagneul Breton""]""";"0";"7";"""[""7""]""";"1669218474859";"249363"
"322";"104548320";"0";"354";"Beagle";"[""Beagle"",""Epagneul Breton"",""Basset"",""Foxhound""]";"""[""Basset"",""Epagneul Breton"",""Foxhound"",""Beagle""]""";"1";"2";"""[""3"",""2""]""";"1669219390241";"35521"
"327";"104548320";"2";"355";"Basset";"[""Beagle"",""Epagneul Breton""]";"""[""Epagneul Breton"",""Beagle""]""";"0";"1";"""[""1""]""";"1669219390241";"75657"
"330";"104548320";"4";"359";"Beagle";"[""Basset"",""Foxhound""]";"""[""Foxhound"",""Basset""]""";"0";"1";"""[""1""]""";"1669219390241";"162685"
