"log_id";"user";"currenttrial";"img";"goodanswer";"answer";"answerhistory";"isgoodanswer";"certitude";"certitudeHistory";"timestamp";"time"
"643";"1200910";"2";"8";"Basset";"[""Beagle""]";"""[""Beagle""]""";"0";"7";"""[""7""]""";"1666355197573";"126379"
"647";"1200910";"3";"9";"Berger des Shetland";"[""Colley""]";"""[""Colley""]""";"0";"7";"""[""7""]""";"1666355197573";"142471"
"672";"1200910";"10";"10";"Berger des Shetland";"[""Colley""]";"""[""Colley""]""";"0";"6";"""[""6""]""";"1666355197573";"267219"
"670";"1200910";"9";"14";"Basset";"[""Basset""]";"""[""Basset""]""";"1";"6";"""[""6""]""";"1666355197573";"254831"
"656";"1200910";"4";"15";"Beagle";"[""Beagle""]";"""[""Beagle""]""";"1";"5";"""[""5""]""";"1666355197573";"181711"
"674";"1200910";"11";"16";"Beagle";"[""Foxhound""]";"""[""Foxhound""]""";"0";"6";"""[""6""]""";"1666355197573";"280716"
"635";"1200910";"1";"21";"Corgi";"[""Corgi""]";"""[""Corgi"",""Corgi""]""";"1";"6";"""[""6""]""";"1666355197573";"79892"
"662";"1200910";"6";"25";"Foxhound";"[""Beagle""]";"""[""Beagle""]""";"0";"5";"""[""5""]""";"1666355197573";"210754"
"668";"1200910";"8";"26";"Corgi";"[""Corgi""]";"""[""Corgi""]""";"1";"6";"""[""6""]""";"1666355197573";"242794"
"632";"1200910";"0";"27";"Colley";"[""Berger des Shetland""]";"""[""Berger des Shetland""]""";"0";"7";"""[""6"",""7""]""";"1666355197573";"42983"
"659";"1200910";"5";"30";"Epagneul Breton";"[""Epagneul Breton""]";"""[""Epagneul Breton""]""";"1";"7";"""[""7""]""";"1666355197573";"191987"
"665";"1200910";"7";"31";"Colley";"[""Colley""]";"""[""Berger des Shetland"",""Colley""]""";"1";"5";"""[""5""]""";"1666355197573";"230948"
"677";"1200910";"13";"36";"Foxhound";"[""Foxhound""]";"""[""Foxhound""]""";"1";"7";"""[""7""]""";"1666355197573";"298913"
"675";"1200910";"12";"40";"Epagneul Breton";"[""Epagneul Breton""]";"""[""Epagneul Breton""]""";"1";"7";"""[""7""]""";"1666355197573";"287750"
"351";"57489430";"6";"62";"Foxhound";"[""Basset""]";"""[""Basset""]""";"0";"4";"""[""4""]""";"1666353933960";"58472"
"368";"57489430";"13";"68";"Foxhound";"[""Basset""]";"""[""Basset""]""";"0";"2";"""[""2""]""";"1666353933960";"103660"
"344";"57489430";"3";"77";"Berger des Shetland";"[""Colley""]";"""[""Colley""]""";"0";"6";"""[""6""]""";"1666353933960";"42630"
"343";"57489430";"2";"78";"Basset";"[""Beagle""]";"""[""Beagle""]""";"0";"5";"""[""6"",""5""]""";"1666353933960";"37679"
"348";"57489430";"4";"82";"Beagle";"[""Basset""]";"""[""Basset""]""";"0";"4";"""[""4""]""";"1666353933960";"47047"
"363";"57489430";"11";"85";"Beagle";"[""Beagle""]";"""[""Beagle""]""";"1";"2";"""[""3"",""2""]""";"1666353933960";"90290"
"358";"57489430";"9";"86";"Basset";"[""Beagle""]";"""[""Beagle""]""";"0";"4";"""[""4""]""";"1666353933960";"79259"
"338";"57489430";"0";"88";"Colley";"[""Colley""]";"""[""Colley""]""";"1";"5";"""[""5""]""";"1666353933960";"14393"
"354";"57489430";"7";"91";"Colley";"[""Colley""]";"""[""Colley""]""";"1";"5";"""[""5""]""";"1666353933960";"64925"
"339";"57489430";"1";"94";"Corgi";"[""Corgi""]";"""[""Corgi""]""";"1";"6";"""[""6""]""";"1666353933960";"20192"
"361";"57489430";"10";"98";"Berger des Shetland";"[""Colley""]";"""[""Colley""]""";"0";"4";"""[""5"",""4""]""";"1666353933960";"85210"
"355";"57489430";"8";"100";"Corgi";"[""Basset""]";"""[""Basset""]""";"0";"3";"""[""3""]""";"1666353933960";"73121"
"349";"57489430";"5";"105";"Epagneul Breton";"[""Epagneul Breton""]";"""[""Epagneul Breton""]""";"1";"7";"""[""7""]""";"1666353933960";"50911"
"365";"57489430";"12";"114";"Epagneul Breton";"[""Epagneul Breton""]";"""[""Epagneul Breton""]""";"1";"6";"""[""6""]""";"1666353933960";"97328"
"612";"58697825";"6";"110";"Foxhound";"[""Colley""]";"""[""Colley""]""";"0";"1";"""[""2"",""1""]""";"1666354993115";"168684"
"593";"58697825";"2";"119";"Basset";"[""Epagneul Breton""]";"""[""Epagneul Breton""]""";"0";"4";"""[""4""]""";"1666354993115";"102824"
"629";"58697825";"13";"122";"Foxhound";"[""Colley""]";"""[""Colley""]""";"0";"1";"""[""2"",""1""]""";"1666354993115";"221413"
"625";"58697825";"9";"124";"Basset";"[""Epagneul Breton""]";"""[""Epagneul Breton""]""";"0";"1";"""[""1""]""";"1666354993115";"196389"
"590";"58697825";"1";"126";"Corgi";"[""Foxhound""]";"""[""Foxhound""]""";"0";"1";"""[""1""]""";"1666354993115";"91248"
"623";"58697825";"8";"127";"Corgi";"[""Foxhound""]";"""[""Foxhound""]""";"0";"2";"""[""2""]""";"1666354993115";"190848"
"587";"58697825";"0";"130";"Colley";"[""Berger des Shetland""]";"""[""Berger des Shetland"",""Berger des Shetland""]""";"0";"2";"""[""2""]""";"1666354993115";"72201"
